Customer ID,Recency,Frequency,Monetary,r_quartile,f_quartile,m_quartile,rfm_score,customer_title,Segment Title,Segment Rank
1,7,11,9084.45,4,4,4,444,Platinum,Platinum Customers,1
2,128,3,4149.07,1,1,1,111,Bronze,Lost Customers,11
3,102,8,9888.23,1,4,4,144,Bronze,Almost lost Customers,9
4,195,2,1047.72,1,1,1,111,Bronze,Lost Customers,11
5,16,6,5903.2,4,2,2,422,Platinum,Becoming Loyal,3
6,64,5,5931.6900000000005,2,2,2,222,Silver,High Risk Customers,8
7,253,3,995.38,1,1,1,111,Bronze,Lost Customers,11
8,22,10,12024.759999999998,3,4,4,344,Gold,Recent Customers,4
9,78,6,5357.549999999999,2,2,2,222,Silver,High Risk Customers,8
10,43,5,5003.75,3,2,2,322,Gold,Late Bloomer,6
11,46,6,6779.4400000000005,2,2,3,223,Silver,High Risk Customers,8
12,67,7,6394.21,2,3,3,233,Silver,Losing Customers,7
13,27,7,7734.74,3,3,3,333,Gold,Potential Customers,5
14,47,3,2509.3900000000003,2,1,1,211,Bronze,Almost lost Customers,9
15,35,6,4923.34,3,2,2,322,Gold,Late Bloomer,6
16,99,5,7763.79,1,2,3,123,Bronze,Evasive Customers,10
17,0,5,4676.1900000000005,4,2,2,422,Platinum,Becoming Loyal,3
18,134,7,8878.62,1,3,4,134,Bronze,Almost lost Customers,9
19,102,3,4238.1900000000005,1,1,2,112,Bronze,Evasive Customers,10
20,31,4,6618.86,3,1,3,313,Gold,Late Bloomer,6
21,6,5,7446.21,4,2,3,423,Platinum,Becoming Loyal,3
22,97,8,9546.35,1,4,4,144,Bronze,Almost lost Customers,9
23,10,6,6377.76,4,2,3,423,Platinum,Becoming Loyal,3
24,17,7,6885.51,4,3,3,433,Platinum,Very Loyal Customers,2
25,5,12,9996.33,4,4,4,444,Platinum,Platinum Customers,1
26,259,2,2245.85,1,1,1,111,Bronze,Lost Customers,11
27,143,7,7679.97,1,3,3,133,Bronze,Almost lost Customers,9
28,83,6,5492.900000000001,2,2,2,222,Silver,High Risk Customers,8
29,22,9,10855.57,3,4,4,344,Gold,Recent Customers,4
30,11,3,3736.5199999999995,4,1,1,411,Gold,Recent Customers,4
31,89,4,3110.0,1,1,1,111,Bronze,Lost Customers,11
32,138,7,7873.18,1,3,3,133,Bronze,Almost lost Customers,9
33,38,7,9384.23,3,3,4,334,Gold,Potential Customers,5
34,102,8,12098.83,1,4,4,144,Bronze,Almost lost Customers,9
35,92,4,4182.28,1,1,2,112,Bronze,Evasive Customers,10
36,163,2,1781.04,1,1,1,111,Bronze,Lost Customers,11
37,7,9,11291.71,4,4,4,444,Platinum,Platinum Customers,1
38,50,4,4502.59,2,1,2,212,Silver,High Risk Customers,8
39,34,12,11237.19,3,4,4,344,Gold,Recent Customers,4
40,14,6,6175.2699999999995,4,2,3,423,Platinum,Becoming Loyal,3
41,29,9,9114.15,3,4,4,344,Gold,Recent Customers,4
42,111,4,1936.46,1,1,1,111,Bronze,Lost Customers,11
43,61,9,6574.59,2,4,3,243,Silver,Losing Customers,7
44,35,7,7497.4,3,3,3,333,Gold,Potential Customers,5
45,43,3,2912.33,3,1,1,311,Silver,Late Bloomer,6
46,53,5,4923.139999999999,2,2,2,222,Silver,High Risk Customers,8
47,35,7,8022.01,3,3,3,333,Gold,Potential Customers,5
48,82,8,9654.119999999999,2,4,4,244,Silver,Losing Customers,7
49,36,5,7582.92,3,2,3,323,Gold,Potential Customers,5
50,26,8,9252.66,3,4,4,344,Gold,Recent Customers,4
51,55,8,9667.460000000001,2,4,4,244,Silver,Losing Customers,7
52,4,6,9779.71,4,2,4,424,Platinum,Becoming Loyal,3
53,7,5,5472.74,4,2,2,422,Platinum,Becoming Loyal,3
54,67,7,9813.66,2,3,4,234,Silver,Losing Customers,7
55,46,8,6754.21,2,4,3,243,Silver,Losing Customers,7
56,2,7,5060.86,4,3,2,432,Platinum,Becoming Loyal,3
57,35,6,8748.75,3,2,4,324,Gold,Potential Customers,5
58,20,8,6967.3099999999995,3,4,3,343,Gold,Potential Customers,5
59,22,3,2797.47,3,1,1,311,Silver,Late Bloomer,6
60,200,2,1526.9,1,1,1,111,Bronze,Lost Customers,11
61,47,6,7529.360000000001,2,2,3,223,Silver,High Risk Customers,8
62,5,6,5845.950000000001,4,2,2,422,Platinum,Becoming Loyal,3
63,68,3,4156.66,2,1,2,212,Silver,High Risk Customers,8
64,3,5,4111.12,4,2,1,421,Platinum,Becoming Loyal,3
65,136,6,8056.469999999999,1,2,3,123,Bronze,Evasive Customers,10
66,43,5,6489.33,3,2,3,323,Gold,Potential Customers,5
67,116,5,5304.15,1,2,2,122,Bronze,Evasive Customers,10
68,84,3,5127.98,2,1,2,212,Silver,High Risk Customers,8
69,20,6,8395.75,3,2,4,324,Gold,Potential Customers,5
70,4,5,4801.11,4,2,2,422,Platinum,Becoming Loyal,3
71,131,1,1415.01,1,1,1,111,Bronze,Lost Customers,11
72,22,4,4048.85,3,1,1,311,Silver,Late Bloomer,6
73,168,6,5265.87,1,2,2,122,Bronze,Evasive Customers,10
74,28,3,2985.64,3,1,1,311,Silver,Late Bloomer,6
75,60,8,7130.63,2,4,3,243,Silver,Losing Customers,7
76,1,8,7425.04,4,4,3,443,Platinum,Very Loyal Customers,2
77,101,3,2964.73,1,1,1,111,Bronze,Lost Customers,11
78,211,2,1139.12,1,1,1,111,Bronze,Lost Customers,11
79,43,6,6761.43,3,2,3,323,Gold,Potential Customers,5
80,28,10,12564.82,3,4,4,344,Gold,Recent Customers,4
81,4,4,4421.7,4,1,2,412,Platinum,Recent Customers,4
82,78,5,5293.91,2,2,2,222,Silver,High Risk Customers,8
83,80,6,4464.65,2,2,2,222,Silver,High Risk Customers,8
84,28,7,5464.650000000001,3,3,2,332,Gold,Potential Customers,5
85,37,6,3158.6299999999997,3,2,1,321,Gold,Late Bloomer,6
86,0,9,7319.35,4,4,3,443,Platinum,Very Loyal Customers,2
87,18,9,7994.73,3,4,3,343,Gold,Potential Customers,5
88,74,6,5550.83,2,2,2,222,Silver,High Risk Customers,8
89,4,9,12741.44,4,4,4,444,Platinum,Platinum Customers,1
90,30,7,7703.58,3,3,3,333,Gold,Potential Customers,5
